Feedstock_Type,Initial_Mass_kg,Initial_Moisture_Pct,Initial_Motor_Load_A,Target_Batch_Time_Min,Target_Final_Mass_kg,Projected_NPK_Profile
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.09,82.08,1.3,170.4,0.57,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.95,77.17,2.24,197.2,1.0,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.33,73.85,1.85,135.0,0.53,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.84,74.93,2.41,190.0,1.05,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.23,81.07,1.69,174.5,0.64,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.29,77.34,2.22,247.1,1.42,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.23,69.51,2.19,128.8,0.57,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.67,72.7,1.79,181.2,1.08,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.83,68.57,2.56,181.1,1.31,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.9,74.83,1.92,228.0,1.44,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.3,84.71,1.28,221.9,0.75,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.67,76.86,2.12,223.2,1.25,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.11,86.67,1.51,258.8,0.82,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.45,78.69,1.69,255.9,1.39,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.26,87.46,1.27,182.6,0.44,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.15,79.75,1.79,208.5,0.95,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.36,87.34,1.56,270.7,0.82,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.96,73.29,1.98,262.3,1.93,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.56,76.43,2.03,255.1,1.57,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.49,79.7,1.67,183.0,0.75,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.78,81.62,2.22,157.6,0.5,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.96,80.7,1.61,202.4,0.85,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.97,83.18,1.43,246.2,0.99,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.97,75.14,2.01,195.0,1.09,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.93,79.3,1.89,199.5,0.9,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.35,78.29,2.09,251.5,1.38,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.45,85.11,1.23,187.8,0.55,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.44,80.6,1.92,259.6,1.26,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.63,70.62,2.12,176.9,1.14,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.31,76.83,2.22,173.2,0.8,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.82,81.78,1.57,198.4,0.77,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.05,72.97,1.93,229.7,1.6,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.5,81.92,2.14,147.0,0.42,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.79,80.11,1.45,156.5,0.54,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.81,80.34,1.4,273.2,1.38,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.7,75.8,2.59,149.8,0.62,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.27,74.28,2.25,204.5,1.24,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.32,77.93,1.87,212.0,1.08,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.96,83.02,1.5,205.8,0.75,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.58,83.6,1.44,231.5,0.87,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.92,77.05,1.72,158.9,0.66,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.21,80.13,1.98,211.4,0.95,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.49,73.31,2.14,175.5,0.98,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.65,75.26,2.56,219.6,1.32,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.56,75.69,1.69,144.7,0.58,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.28,77.18,1.68,209.5,1.1,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.74,81.34,1.73,155.9,0.5,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.11,74.53,1.88,163.5,0.8,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.87,75.83,2.16,156.1,0.68,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.73,76.56,1.72,151.5,0.61,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.3,74.67,1.96,242.1,1.59,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.14,66.62,2.29,156.4,1.06,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.71,77.66,2.1,263.4,1.54,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.88,81.38,2.24,278.5,1.33,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.29,75.41,2.0,206.8,1.19,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.57,79.32,1.35,147.7,0.5,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.5,80.95,2.28,184.9,0.71,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.19,80.59,1.68,250.0,1.2,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.47,81.47,1.9,184.5,0.69,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.35,78.09,1.42,138.4,0.46,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.23,68.46,2.39,193.9,1.49,Organic Soil Conditioner (High Carbon)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.38,81.39,1.44,259.0,1.2,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.18,84.13,1.63,256.8,0.98,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.7,84.62,1.42,156.9,0.41,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.69,80.19,2.23,229.9,1.08,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.88,73.2,1.97,154.0,0.75,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.87,80.85,1.22,160.6,0.55,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.5,74.69,2.68,249.1,1.66,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.0,73.63,2.17,158.5,0.79,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.05,86.53,1.66,173.1,0.43,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.0,74.65,2.23,123.8,0.4,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.48,75.21,1.99,249.7,1.62,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.17,72.51,1.63,233.0,1.67,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.51,79.2,1.91,221.3,1.08,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.0,67.82,1.95,218.1,1.87,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.61,78.7,1.6,148.6,0.52,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.83,86.06,1.24,204.9,0.6,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.4,67.11,2.11,165.3,1.16,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.38,72.85,2.22,136.0,0.57,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.94,75.21,2.27,194.2,1.08,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.68,78.42,1.62,264.2,1.48,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.16,76.3,2.21,130.4,0.43,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.17,71.01,1.99,161.7,0.93,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.83,75.58,2.45,154.3,0.67,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.95,77.7,1.64,160.7,0.66,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.63,66.55,2.3,235.9,2.25,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.87,74.08,1.95,190.0,1.1,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.87,83.45,1.34,202.6,0.71,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.04,81.48,2.19,246.0,1.1,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.62,72.95,1.86,144.5,0.66,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.95,73.06,1.94,191.3,1.17,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.72,66.77,2.58,175.0,1.33,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.39,66.74,2.19,196.4,1.64,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",5.0,81.64,1.52,283.7,1.34,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.08,73.29,1.9,231.3,1.59,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.59,74.75,2.22,180.9,0.97,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.31,72.41,2.24,237.7,1.73,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.68,80.33,1.81,152.8,0.51,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.12,79.89,1.62,130.9,0.36,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.82,77.67,2.37,155.6,0.61,Organic Soil Conditioner (High Carbon)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.36,81.03,1.38,179.7,0.67,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.04,72.66,2.29,194.0,1.22,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.46,72.39,2.06,208.1,1.4,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.64,76.43,2.26,258.2,1.6,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.04,80.46,1.47,205.3,0.88,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.01,76.82,2.09,198.7,1.03,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.2,68.68,2.07,127.5,0.57,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.14,74.15,2.12,128.4,0.45,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.2,69.89,2.42,195.4,1.41,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.75,67.37,2.49,176.9,1.32,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.36,81.42,1.96,258.1,1.19,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.64,71.52,2.11,144.3,0.7,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.1,72.5,1.79,126.2,0.47,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.8,72.2,2.23,184.8,1.14,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.95,81.44,1.88,164.1,0.55,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.2,72.63,2.19,129.7,0.5,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.9,70.64,2.01,220.1,1.67,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.45,70.0,2.18,136.5,0.65,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.43,72.77,2.55,207.8,1.37,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.12,75.29,1.63,164.6,0.78,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.69,76.96,1.98,150.5,0.59,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.52,73.68,2.13,177.0,0.98,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.21,81.85,2.26,253.1,1.12,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.57,79.97,1.64,186.5,0.77,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.0,79.04,1.92,239.8,1.23,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.5,73.41,2.66,140.8,0.6,Organic Soil Conditioner (High Carbon)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.09,82.8,1.39,250.5,1.04,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.95,70.43,2.26,153.7,0.86,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.71,73.89,2.23,219.4,1.42,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.26,72.42,2.31,201.3,1.32,High Phosphorus & Nitrogen (P-N Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.72,68.99,2.44,244.1,2.12,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.55,73.21,1.66,177.5,1.01,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.26,83.27,1.4,138.4,0.34,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.08,71.48,1.87,124.8,0.47,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.31,76.31,1.72,245.7,1.49,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.1,81.87,1.99,209.7,0.84,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.1,78.87,1.83,243.1,1.27,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.94,72.95,2.28,155.7,0.78,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.38,74.86,1.9,173.4,0.89,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.12,78.5,1.62,130.1,0.38,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.85,80.1,1.98,274.2,1.41,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.67,74.78,1.64,219.7,1.36,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.73,69.62,2.71,246.0,2.09,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.06,78.86,1.77,165.9,0.66,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.45,68.66,2.52,201.4,1.58,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.71,77.72,1.88,226.4,1.22,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.27,75.64,1.75,170.3,0.82,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.39,78.7,2.28,253.8,1.37,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.79,73.76,2.02,257.4,1.83,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.54,76.24,1.91,254.0,1.57,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.96,80.54,1.61,240.8,1.13,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.11,76.85,1.98,165.7,0.73,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.13,81.05,1.29,170.6,0.61,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.85,78.86,1.56,271.6,1.5,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.04,73.96,2.08,124.8,0.42,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.86,75.9,1.89,228.7,1.36,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.82,70.16,2.09,216.7,1.66,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.49,73.01,1.82,210.2,1.38,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.96,78.64,2.07,275.1,1.55,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.25,70.86,2.31,164.3,0.97,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.36,73.93,1.75,171.6,0.91,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.32,78.23,1.65,137.3,0.44,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.77,70.11,2.1,181.1,1.22,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.04,74.8,1.69,161.3,0.77,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.37,78.39,1.65,177.2,0.77,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.34,73.34,2.05,240.6,1.69,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.74,75.4,2.1,259.5,1.7,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.74,77.57,1.78,152.8,0.59,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.49,84.51,1.26,188.9,0.58,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.71,77.36,1.91,262.9,1.56,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.25,74.68,2.02,132.6,0.48,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.37,76.71,2.8,138.3,0.49,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.65,71.69,2.12,144.7,0.7,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.38,80.25,1.33,218.1,0.99,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.6,76.79,1.86,146.9,0.56,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.87,87.14,1.38,291.7,0.93,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.79,75.73,1.87,189.2,1.0,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.01,80.37,2.06,203.8,0.88,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.99,78.14,1.83,162.4,0.65,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.88,74.0,1.83,190.3,1.1,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.65,80.71,1.96,229.2,1.04,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.0,75.98,1.95,233.9,1.41,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.02,78.67,1.61,239.5,1.26,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.31,80.72,1.91,216.2,0.95,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.62,68.77,1.91,240.3,2.09,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.27,82.39,1.45,256.7,1.11,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.03,69.44,2.34,222.1,1.79,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.22,76.21,2.27,132.6,0.45,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.03,77.99,2.17,126.3,0.36,Balanced Organic (High C / Moderate K)
